iter	Passed	Remaining
0	141	141208
1	142	71288
2	143	47751
3	144	35967
4	145	28897
5	145	24172
6	146	20792
7	147	18268
8	148	16307
9	148	14747
10	149	13471
11	150	12394
12	151	11484
13	152	10705
14	152	10041
15	153	9449
16	154	8919
17	154	8448
18	155	8028
19	156	7651
20	156	7310
21	157	7009
22	158	6729
23	159	6474
24	159	6234
25	160	6012
26	161	5808
27	161	5618
28	162	5446
29	163	5286
30	164	5133
31	164	4988
32	165	4862
33	166	4738
34	167	4616
35	168	4504
36	168	4396
37	169	4295
38	170	4200
39	171	4106
40	171	4018
41	172	3934
42	173	3855
43	174	3782
44	174	3712
45	175	3642
46	176	3574
47	176	3509
48	177	3452
49	178	3399
50	180	3351
51	180	3297
52	181	3245
53	182	3194
54	182	3144
55	183	3096
56	184	3052
57	185	3009
58	185	2965
59	186	2924
60	187	2883
61	188	2845
62	188	2809
63	189	2776
64	190	2744
65	191	2710
66	192	2677
67	193	2645
68	193	2614
69	194	2585
70	195	2558
71	196	2530
72	197	2502
73	197	2474
74	198	2446
75	199	2419
76	199	2393
77	200	2368
78	201	2345
79	201	2321
80	202	2297
81	203	2274
82	203	2248
83	204	2226
84	204	2206
85	205	2186
86	206	2166
87	207	2146
88	207	2128
89	208	2109
90	209	2091
91	210	2073
92	210	2055
93	211	2040
94	212	2023
95	213	2006
96	213	1990
97	214	1974
98	215	1958
99	216	1944
100	216	1930
101	217	1915
102	218	1901
103	219	1888
104	219	1875
105	220	1861
106	221	1850
107	222	1838
108	223	1825
109	224	1813
110	224	1801
111	225	1788
112	226	1775
113	226	1763
114	227	1752
115	228	1741
116	229	1728
117	229	1717
118	230	1706
119	231	1695
120	232	1686
121	232	1674
122	233	1664
123	234	1654
124	234	1643
125	235	1633
126	236	1622
127	236	1612
128	237	1603
129	238	1594
130	239	1585
131	239	1576
132	240	1567
133	241	1558
134	241	1550
135	242	1541
136	243	1533
137	244	1525
138	244	1517
139	245	1508
140	246	1500
141	246	1491
142	247	1483
143	248	1476
144	249	1469
145	249	1462
146	250	1454
147	251	1446
148	251	1439
149	252	1431
150	253	1424
151	254	1418
152	255	1412
153	255	1405
154	256	1398
155	257	1391
156	257	1384
157	258	1377
158	259	1372
159	260	1366
160	260	1358
161	261	1353
162	262	1346
163	262	1340
164	263	1334
165	264	1329
166	265	1325
167	266	1319
168	267	1314
169	267	1308
170	268	1302
171	269	1297
172	270	1292
173	271	1286
174	271	1281
175	272	1275
176	273	1270
177	273	1264
178	274	1259
179	275	1254
180	276	1250
181	277	1245
182	277	1240
183	278	1234
184	279	1229
185	279	1225
186	280	1221
187	281	1216
188	282	1211
189	283	1207
190	284	1202
191	284	1198
192	285	1193
193	286	1189
194	287	1185
195	288	1181
196	288	1177
197	289	1173
198	290	1169
199	291	1165
200	292	1161
201	293	1158
202	293	1153
203	294	1149
204	295	1145
205	296	1141
206	297	1137
207	297	1134
208	298	1130
209	299	1126
210	300	1123
211	301	1119
212	301	1115
213	302	1111
214	303	1108
215	304	1104
216	305	1101
217	305	1097
218	306	1093
219	307	1090
220	308	1087
221	309	1084
222	310	1080
223	311	1077
224	311	1074
225	312	1070
226	313	1067
227	314	1064
228	315	1061
229	316	1058
230	316	1054
231	317	1051
232	318	1048
233	319	1045
234	320	1042
235	320	1038
236	321	1035
237	322	1031
238	323	1028
239	324	1026
240	325	1023
241	326	1021
242	326	1018
243	327	1015
244	328	1012
245	329	1009
246	330	1007
247	331	1004
248	332	1001
249	332	998
250	333	995
251	334	992
252	335	989
253	336	987
254	336	984
255	337	981
256	338	978
257	339	975
258	340	973
259	341	971
260	342	968
261	342	966
262	343	963
263	344	960
264	345	958
265	346	955
266	347	953
267	347	950
268	348	947
269	349	945
270	350	942
271	351	940
272	352	937
273	353	935
274	353	932
275	354	930
276	355	927
277	356	924
278	356	922
279	357	920
280	358	918
281	359	915
282	360	913
283	361	911
284	362	909
285	363	906
286	364	904
287	364	902
288	365	900
289	366	897
290	367	895
291	368	892
292	369	890
293	369	888
294	370	885
295	371	883
296	372	881
297	373	879
298	374	877
299	374	874
300	375	872
301	376	870
302	377	868
303	378	866
304	379	864
305	380	863
306	381	860
307	382	858
308	382	856
309	383	854
310	384	852
311	385	850
312	386	848
313	387	846
314	388	843
315	389	842
316	390	841
317	391	839
318	392	836
319	392	834
320	393	832
321	394	830
322	395	828
323	396	826
324	397	824
325	397	822
326	398	820
327	399	818
328	400	816
329	401	814
330	401	812
331	402	810
332	403	808
333	404	805
334	405	804
335	406	802
336	407	800
337	407	798
338	408	796
339	409	794
