iter	Passed	Remaining
0	0	91
1	1	90
2	2	96
3	3	95
4	4	90
5	5	90
6	6	86
7	7	84
8	8	82
9	8	80
10	9	78
11	10	76
12	11	76
13	12	75
14	12	73
15	13	72
16	14	70
17	15	70
18	16	69
19	16	67
20	17	66
21	18	65
22	19	64
23	20	63
24	21	63
25	21	61
26	22	61
27	23	60
28	24	59
29	25	58
30	25	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	31	50
38	31	50
39	32	49
40	33	48
41	34	47
42	35	47
43	36	45
44	36	45
45	37	44
46	38	43
47	39	42
48	40	41
49	40	40
50	41	39
51	42	39
52	42	38
53	43	37
54	44	36
55	45	35
56	45	34
57	46	33
58	47	32
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	52	27
66	53	26
67	54	25
68	55	24
69	55	23
70	56	23
71	57	22
72	57	21
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	66	11
85	67	10
86	68	10
87	69	9
88	70	8
89	70	7
90	71	7
91	72	6
92	72	5
93	73	4
94	74	3
95	75	3
96	76	2
97	76	1
98	78	0
99	78	0
